sample_id,text,source,author,day,month,year,location
wl_00177,"""Auszubildende werden wie Leibeigene behandelt und erniedrigt, statt gefestigt und gefördert zu werden"", schreiben die Gewerkschaftler.",Wortschatz Leipzig,,,,2000,
wl_63746,Olympischen Jugenspielen in Nanjing werden vom 16. bis 28. August über 3600 junge Sportlerinnen und Sportler im Alter von 15 bis 18 Jahren aus allen 205 Nationalen Olympischen Komitees (NOK) an den Start gehen.,Wortschatz Leipzig,,,,2014,
wl_18725,"Das Angebot: Ende vergangenen Jahres las ich in der Zeitung eine verlockende Anzeige: ""100 Testfahrer/-innen gesucht!",Wortschatz Leipzig,,,,1997,
wl_08555,"Auch Hüftgold hat vermutlich das Potenzial, einiges an Unterstützerinnen und Unterstützern zu aktivieren.",Wortschatz Leipzig,,,,2022,
wl_45308,Fünfzehn BürgerInnen sowie Ortsamtsleiter und Beiratssprecher sind bereits Mitglied.,Wortschatz Leipzig,,,,1997,
wl_08292,"ArbeitnehmerInnen, die in diesem Jahr ihren Job verloren und im letzten halben Jahr noch Urlaubs- oder Weihnachtsgeld bekommen haben, erhalten bis zu 100 Mark zuwenig Arbeitslosengeld.",Wortschatz Leipzig,,,,1997,
wl_09887,"Auf 13 Seiten behandelt es ebenso viele Eckpunkte der Politik, für die er einstehen möchte, wenn sich bei der Bürgermeisterwahl am 1. Juni die Wählerinnen und Wähler für ihn entscheiden sollten.",Wortschatz Leipzig,,,,2008,
wl_15270,"Bosbach: Auch im Innenausschuss des Bundestag, zumindest einigen Kolleginnen und Kollegen ist ja damals eine Software vorgeführt worden, die diese Eigenschaften tatsächlich hat.",Wortschatz Leipzig,,,,2011,
wl_70376,Somit sind aktuell 149 Marlerinnen und Marler infiziziert.,Wortschatz Leipzig,,,,2021,
wl_30936,"Die Kundinnen und Kunden schätzen das vielfältige Angebot in diesen beiden Verkaufsstellen und tätigen ihre Einkäufe vermehrt dort», hält Häfliger fest.",Wortschatz Leipzig,,,,2016,
wl_48392,"Hecken sagte dagegen, die Botschaft in Madrid habe ihm mitgeteilt, alle Unterlagen hätten fristgerecht und vollständig vorgelegen.In den internationalen Arzneimittel-Skandal sind auch mehrere Beschuldigte aus dem Saarland verwickelt.",Wortschatz Leipzig,,,,2006,
wl_04520,"Alle Lehrgänge waren voll ausgebucht und wir haben von Seiten der Teilnehmer und Teilnehmerinnen viele positive Rückmeldungen über den Ablauf und das Niveau der Lehrgänge erhalten, die natürlich alle unter den bestehenden Hygienebestimmungen stattfanden.“",Wortschatz Leipzig,,,,2020,
wl_73217,"Und deshalb bin ich sehr froh, dass wir heute morgen Vertreterinnen und Vertreter unser beiden sozialdemokratischen Schwesterparteien aus der Türkei bei uns haben.",Wortschatz Leipzig,,,,2017,
wl_03824,"Aber sind genügend Nutzerinnen und Nutzer auch bereit, ihren Beitrag zu der nahezu halben Million DM an Kosten im Monat zu leisten?",Wortschatz Leipzig,,,,2001,
wl_09035,Auch die Elektrobahn hat im Tierpark wieder den Betrieb aufgenommen und bringt Besucher*innen bequem durch den 160 Hektar großen Park.,Wortschatz Leipzig,,,,2022,
wl_71589,"Tauschbörsen-Software zu verteilen auch nicht, finden Musiker und Filmschaffende.",Wortschatz Leipzig,,,,2011,
wl_41174,"Einladende Geschäfte und eine abwechslungsreiche Gastronomie runden das Bild einer Stadt ab, in der man sich einfach wohl fühlt.",Wortschatz Leipzig,,,,2007,
wl_50200,"Im Bündnis aktiv sind darüber hinaus viele Pflegekräfte, Auszubildende, betroffene PatientInnen und neben anderen politischen Gruppen wie der IL auch die SAV aktiv.",Wortschatz Leipzig,,,,2018,
wl_37125,Diese Gruppen werden von ehrenamtlichen Firmbegleiter*innen betreut und über einen Zeitraum von etwa sechs Monaten begleitet.,Wortschatz Leipzig,,,,2021,
wl_04770,Allein 25.000 LehrerInnen würden in den Schulen fehlen.,Wortschatz Leipzig,,,,1997,
wl_47419,Gestern haben viele WählerInnen wohl auch aus Angst vor ungewissen Koalitionsverhandlungen und dem Wunsch nach mehr Stabilität die AKP wiedergewählt.,Wortschatz Leipzig,,,,2015,
wl_40481,"Eine Umfrage ergab, dass 80 Prozent der Serbinnen und Serben Sanktionen gegen Russland ablehnen.",Wortschatz Leipzig,,,,2022,
wl_82921,Zusätzlich zu den Mitarbeitern der Betriebsmannschaft werden bis zu 1200 Fachkräfte in der Anlage tätig sein.,Wortschatz Leipzig,,,,1996,
wl_61329,Nach einer Rechnung des Bundesinstituts für Berufsbildung werden im Jahr 2025 nur noch 360.000 Auszubildende zur Verfügung stehen.,Wortschatz Leipzig,,,,2011,
wl_00510,"""Der Jahresurlaub ist zur Wiederherstellung der Arbeitskraft und nicht zum Auskurieren von Krankheiten gedacht"", kritisierte Bsirske.",Wortschatz Leipzig,,,,2005,
